State,Year,EVs_per_1000_arima
Alabama,2024,2.5617539398325055
Alabama,2025,2.562315264393926
Alabama,2026,2.562329894392163
Alabama,2027,2.5623302756989204
Alabama,2028,2.5623302856370516
Alaska,2024,3.7110593990945433
Alaska,2025,3.7132189012843604
Alaska,2026,3.71332225468894
Alaska,2027,3.713327201165164
Alaska,2028,3.7133274379026684
Arizona,2024,12.087209561911147
Arizona,2025,12.088821387929247
Arizona,2026,12.088858155356979
Arizona,2027,12.088858994060242
Arizona,2028,12.088859013191936
Arkansas,2024,2.327998700768612
Arkansas,2025,2.3283453028376755
Arkansas,2026,2.3283533705920396
Arkansas,2027,2.328353558382784
Arkansas,2028,2.328353562753934
California,2024,32.46262832246901
California,2025,32.48094914828336
California,2026,32.48177702693149
California,2027,32.48181443698402
California,2028,32.481816127463695
Colorado,2024,15.389533594248588
Colorado,2025,15.392483510256058
Colorado,2026,15.39255494815819
Colorado,2027,15.392556678164688
Colorado,2028,15.39255672006013
Connecticut,2024,8.751576104585567
Connecticut,2025,8.753889868989686
Connecticut,2026,8.753958981058462
Connecticut,2027,8.753961045433746
Connecticut,2028,8.75396110709657
Delaware,2024,8.155773187709466
Delaware,2025,8.156696587835633
Delaware,2026,8.15671331524836
Delaware,2027,8.156713618265794
Delaware,2028,8.15671362375496
District of Columbia,2024,11.832443224380986
District of Columbia,2025,11.833182381738494
District of Columbia,2026,11.83319385779645
District of Columbia,2027,11.833194035972186
District of Columbia,2028,11.833194038738519
Florida,2024,11.172146840064068
Florida,2025,11.172669510927257
Florida,2026,11.172675789860563
Florida,2027,11.172675865290449
Florida,2028,11.1726758661966
Georgia,2024,8.349175440081243
Georgia,2025,8.349176716553671
Georgia,2026,8.349176715699906
Georgia,2027,8.349176715700477
Georgia,2028,8.349176715700477
Hawaii,2024,17.879792994190986
Hawaii,2025,17.883328059332772
Hawaii,2026,17.883432965773313
Hawaii,2027,17.883436078972313
Hawaii,2028,17.88343617135947
Idaho,2024,4.339031067598294
Idaho,2025,4.3395917659906
Idaho,2026,4.339603511467778
Idaho,2027,4.339603757511348
Idaho,2028,4.339603762665455
Illinois,2024,7.996005258270865
Illinois,2025,8.0013758628448
Illinois,2026,8.001620991334956
Illinois,2027,8.001632179642689
Illinois,2028,8.001632690306423
Indiana,2024,3.826250882872611
Indiana,2025,3.827137400432198
Indiana,2026,3.827161420918072
Indiana,2027,3.827162071761065
Indiana,2028,3.8271620893958707
Iowa,2024,2.8111876849793163
Iowa,2025,2.811441488272657
Iowa,2026,2.8114458468182333
Iowa,2027,2.8114459216672207
Iowa,2028,2.811445922952597
Kansas,2024,3.8755912195148747
Kansas,2025,3.8773732206797695
Kansas,2026,3.8774407427689446
Kansas,2027,3.87744330125915
Kansas,2028,3.877443398203309
Kentucky,2024,2.5706320028374887
Kentucky,2025,2.571165641422719
Kentucky,2026,2.5711788774345106
Kentucky,2027,2.571179205731626
Kentucky,2028,2.571179213874486
Louisiana,2024,1.8030429215279287
Louisiana,2025,1.803539314555754
Louisiana,2026,1.8035549104300657
Louisiana,2027,1.8035554004274708
Louisiana,2028,1.8035554158224048
Maine,2024,5.320192668748256
Maine,2025,5.320841697501771
Maine,2026,5.320854407793703
Maine,2027,5.320854656706436
Maine,2028,5.320854661581032
Maryland,2024,11.742429922505735
Maryland,2025,11.747514894108972
Maryland,2026,11.74769283470176
Maryland,2027,11.747699061453261
Maryland,2028,11.747699279348648
Massachusetts,2024,10.53493773443853
Massachusetts,2025,10.5373880794706
Massachusetts,2026,10.537453773931794
Massachusetts,2027,10.537455535219358
Massachusetts,2028,10.53745558243999
Michigan,2024,5.03702066434327
Michigan,2025,5.038414130280882
Michigan,2026,5.038454082181809
Michigan,2027,5.038455227638145
Michigan,2028,5.038455260479391
Minnesota,2024,6.501303006097634
Minnesota,2025,6.502557141512735
Minnesota,2026,6.5025870735896545
Minnesota,2027,6.502587787969631
Minnesota,2028,6.502587805019526
Mississippi,2024,1.2374166955475439
Mississippi,2025,1.237914914861251
Mississippi,2026,1.2379323381498915
Mississippi,2027,1.2379329474618526
Mississippi,2028,1.2379329687701757
Missouri,2024,4.384892448993691
Missouri,2025,4.386760539778562
Missouri,2026,4.386827909183447
Missouri,2027,4.386830338742413
Missouri,2028,4.386830426360179
Montana,2024,4.0917599418320165
Montana,2025,4.092344598080067
Montana,2026,4.092357925286468
Montana,2027,4.092358229079391
Montana,2028,4.092358236004333
Nebraska,2024,3.504513879597239
Nebraska,2025,3.5054965833940126
Nebraska,2026,3.5055254522798367
Nebraska,2027,3.5055263003609896
Nebraska,2028,3.5055263252750666
